date,SPX_spot,VIX_computed,VIX_actual,F1_sticky_strike,F2_parallel_shift,F3_put_skew_grad,F4_call_skew_grad,F5_downside_conv,F6_upside_conv,sum_factors
2026-02-11,6941.47,17.642163521943758,17.73,0.0,-0.005079695526088557,-0.022165894828339555,-0.03875460524314541,-0.10462752140838863,-0.015012063064489253,-0.1856397800704514
2026-02-12,6832.75,20.728423033543226,20.83,1.7197419475969227,0.8080641223234828,0.08428343855413212,0.2705691325924293,0.0834781196277693,0.08332213552950707,3.0494588962242433
2026-02-13,6836.12,20.332869346143344,20.47,-0.10011099289676295,-0.3001767287748862,0.1789195694517654,-0.06989817848694446,-0.07874982572230357,-0.07231738513709807,-0.44233354156622984
2026-02-17,6843.24,20.219347770977798,20.27,-0.12413183111120674,0.10778956700213271,-0.058466128024591675,0.003513889680394608,0.06344692421972212,0.0450707879733558,0.037223209739806834
2026-02-18,6881.32,19.50554843297761,19.55,-0.7379897992256979,-0.01398074383599024,0.08900571656301483,-0.21219802251726322,-0.28247255291189427,-0.25318917701241167,-1.4108245789402425
2026-02-19,6861.91,20.2104078266086,20.23,0.2544195540735146,0.536694075667743,-0.11474950772733272,-0.28371457474956147,-0.07827830463528213,-0.29162315123283483,0.022748091396246395
2026-02-20,6909.5,18.956745604919156,19.11,-0.9425116066003909,-0.4203031802029429,-0.01634460094519813,-0.029161349784470658,0.2507520863955357,-0.024456470346670478,-1.1820251214841375
2026-02-23,6837.84,21.040073236087917,21.28,1.218588747300922,0.8515091024294961,-0.0820614197202546,0.03224562995035207,-0.39789867629657116,0.13028069418114463,1.7526640778450888
2026-02-24,6890.11,19.184853243376065,19.49,-0.9311416152388041,-0.7013119247702129,-0.09415524537443687,-0.003995353514493982,0.029197047715210478,0.04999077349555414,-1.6514163176871834
2026-02-25,6946.19,17.647342291377136,17.92,-1.0154440368453628,-0.7242412624176744,0.0056525308277192154,0.14970042851109433,0.5784145523334698,-0.11315066770425042,-1.1190684552950043
2026-02-26,6908.89,18.277517314507733,18.62,0.6349293934985099,-0.061815603633991856,0.03891899919047113,-0.16263641851860888,0.11449573937174215,0.09563042215022552,0.659522532058348
2026-02-27,6878.91,19.57972418653904,20.03,0.47548152271602007,0.5710774265394765,0.1283882804795513,-0.29113697215080486,-0.1695525600800316,-0.17155800905996266,0.5426996884442488
2026-03-02,6881.59,20.793498794805952,21.32,-0.03337722461162862,0.8570620416392405,0.07404137021222978,-0.11408230795404684,0.4606017472567352,-0.26649154217004317,0.977754084372487
2026-03-03,6816.63,22.88700715858269,23.52,1.164740010125552,0.8374487260256203,0.05851706079988639,-0.21491190688932182,-0.03968411345289902,-0.2441078563515635,1.5620019202572744
2026-03-04,6869.46,20.917450276554924,21.44,-1.0994944086903153,-0.7938253626216891,-0.10694281097038061,0.06718423933332418,-0.12636484272455217,0.16891595816186378,-1.8905272275117495
2026-03-05,6830.5,22.71492268048983,23.42,0.6546941972943827,0.6170035185406313,0.03397789307761534,-0.23813257693133355,0.6352473438252031,0.1503627061102651,1.8531530819167639
2026-03-06,6740.0,28.93749200127716,29.68,1.6227242321700892,2.953758772542624,0.22414255816775963,-0.48651586769630484,1.5754529154438819,-0.5067982750092639,5.382764335618786
2026-03-09,6795.89,24.405420502491342,24.97,-1.1372434729406073,-1.9977595432386117,-0.42097980074737595,0.32239339182565496,-0.7162719141016125,0.23289011585431885,-3.7169712233482337
2026-03-10,6781.52,24.94261515411375,25.46,0.37054680727543854,0.566101821553179,-0.09877835504482446,0.009500612408546272,-0.7007059988669329,0.07571384749212862,0.22237873481753512
2026-03-11,6775.76,23.808445563818857,24.25,0.0,-0.8725356653272591,-0.23701339251969422,0.10389421937716248,-0.28196586409766744,0.5455834934826357,-0.7420372090848225
2026-03-12,6672.56,26.861057948731276,27.15,1.8409685944081637,1.1343146431366549,-0.14419160154342436,0.1917038188531297,-0.3499267648581874,0.1879389212186413,2.860807611214978
2026-03-13,6632.25,26.92320089221297,27.19,0.7882120542039353,-0.279199828386993,-0.21286283827247204,0.08235528474885898,-0.24940955714407226,0.34912733904877336,0.4782224541980303
2026-03-16,6699.38,23.48791047540861,23.66,-1.1791116674347286,-1.9282486233571525,0.10146779527739347,-0.10175947727796864,0.19450948806714208,0.09061539073854186,-2.822527093986772
2026-03-17,6716.19,22.248751831912053,22.47,-0.2025190573294644,-1.1181405656831878,0.29210509695147147,0.16049706155785792,0.3902171740074333,0.48932911620292663,0.011488825707037242
2026-03-18,6624.71,24.552247703328046,24.59,1.473444907529661,0.7895940329260185,-0.06676892302295445,-0.034837847851712844,-0.5460900183336375,0.2922027724380343,1.9075449236854087
2026-03-19,6606.48,24.166912165563726,24.31,0.31061256796036574,-0.47863306865004773,-0.1311334214818477,0.07297012241314593,-0.09462251975621083,0.21327577209260407,-0.10753054742199053
2026-03-20,6506.7,27.06822127875737,27.35,1.527498350749763,1.1262281407171635,-0.17893148236752865,0.10699787775509684,-0.09815592713147936,0.28941375921067625,2.7730507189336917
2026-03-23,6581.04,26.062078235586583,26.31,-1.076589177606742,-0.3683381812102269,0.43898841975727293,-0.16181528881341012,0.24763866914177107,-0.23159930157159292,-1.151714860302928
2026-03-24,6556.34,26.597313061552942,26.89,0.35337028077085364,0.1241908338881359,-0.00887144929659496,-0.1438984757008212,0.15996211531923166,-0.043256629444935635,0.4414966755358694
2026-03-26,6477.07,27.69929168684523,28.3,1.260853267922684,0.23218120989304936,-0.5079994786838571,0.10506111788323447,-0.4934492090676794,0.20990263842902768,0.8065495463764591
2026-03-27,6368.54,30.12150632970641,30.91,1.4607098095351283,0.6108208473487693,-0.39817982230647625,0.01175305790279102,-0.11224851240988892,0.6879353354273409,2.2607907154976643
